HOXB6 (10 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
3216	HOXB6	11.8	8e-06	11.8
3866	KRT15	-0.08	0.94	0.08
3217	HOXB7	-4.63	0.002	4.63
5316	PKNOX1	0.5	0.636	0.5
3235	HOXD9	4.03	0.005	4.03
5630	PRPH	1.85	0.108	1.85
51322	WAC	-0.94	0.38	0.94
3887	KRT81	1.86	0.105	1.86
112869	SGF29	-0.38	0.712	0.38
150483	TEKT4	0.2	0.844	0.2
DRD3 (15 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
1814	DRD3	-9.33	4e-05	9.33
10755	GIPC1	0.11	0.912	0.11
8777	MPDZ	-1.48	0.183	1.48
54102	CLIC6	1.04	0.332	1.04
4994	OR3A1	5.07	0.002	5.07
7122	CLDN5	-1.92	0.097	1.92
144125	OR2AG1	-1.71	0.132	1.71
4991	OR1D2	-1.16	0.284	1.16
1815	DRD4	6.1	5e-04	6.1
59338	PLEKHA1	0.86	0.42	0.86
59339	PLEKHA2	0.15	0.883	0.15
7976	FZD3	1.4	0.204	1.4
54810	GIPC2	1.28	0.243	1.28
54910	SEMA4C	0.62	0.556	0.62
10509	SEMA4B	0.19	0.855	0.19
CRH (14 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
1392	CRH	6.36	4e-04	6.36
1394	CRHR1	-1.01	0.349	1.01
1395	CRHR2	0.82	0.439	0.82
114131	UCN3	5.7	8e-04	5.7
3588	IL10RB	1.07	0.321	1.07
282617	IFNL3	-2.74	0.029	2.74
7349	UCN	-2.12	0.072	2.12
1393	CRHBP	0.84	0.431	0.84
90226	UCN2	0.11	0.914	0.11
50616	IL22	-1.75	0.125	1.75
58985	IL22RA1	0.26	0.801	0.26
116379	IL22RA2	-0.19	0.853	0.19
3587	IL10RA	-0.85	0.424	0.85
3586	IL10	-1.44	0.193	1.44
GNG4 (12 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
2786	GNG4	6.07	5e-04	6.07
10681	GNB5	-0.51	0.625	0.51
51764	GNG13	-3.27	0.014	3.27
2788	GNG7	2	0.086	2
2792	GNGT1	-0.93	0.382	0.93
55970	GNG12	-0.23	0.828	0.23
94235	GNG8	-1.72	0.129	1.72
51205	ACP6	0.69	0.513	0.69
4668	NAGA	0.86	0.42	0.86
93145	OLFM2	1.26	0.247	1.26
64130	LIN7B	0.57	0.589	0.57
2649	NR6A1	-0.18	0.859	0.18
UCN3 (14 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
114131	UCN3	5.7	8e-04	5.7
1394	CRHR1	-1.01	0.349	1.01
1395	CRHR2	0.82	0.439	0.82
3588	IL10RB	1.07	0.321	1.07
1392	CRH	6.36	4e-04	6.36
282617	IFNL3	-2.74	0.029	2.74
7349	UCN	-2.12	0.072	2.12
1393	CRHBP	0.84	0.431	0.84
90226	UCN2	0.11	0.914	0.11
50616	IL22	-1.75	0.125	1.75
58985	IL22RA1	0.26	0.801	0.26
116379	IL22RA2	-0.19	0.853	0.19
3587	IL10RA	-0.85	0.424	0.85
3586	IL10	-1.44	0.193	1.44
TLE1 (56 genes)
EntrezID	Symbol	stat(DNAm)	P(DNAm)	stat(Int)
7088	TLE1	5.09	0.001	5.09
6495	SIX1	-1.39	0.207	1.39
379	ARL4D	-0.15	0.886	0.15
2948	GSTM4	1.21	0.267	1.21
166	AES	0.67	0.527	0.67
3087	HHEX	-0.69	0.514	0.69
6927	HNF1A	3.08	0.018	3.08
55502	HES6	0.21	0.843	0.21
2290	FOXG1	0.23	0.822	0.23
55643	BTBD2	0.17	0.872	0.17
429	ASCL1	-1.63	0.148	1.63
51701	NLK	0.31	0.768	0.31
639	PRDM1	0.82	0.441	0.82
10200	MPHOSPH6	0.39	0.708	0.39
1031	CDKN2C	1.01	0.347	1.01
7089	TLE2	0.88	0.407	0.88
6925	TCF4	-0.22	0.829	0.22
864	RUNX3	0.48	0.643	0.48
1827	RCAN1	1.23	0.26	1.23
4487	MSX1	-1.15	0.288	1.15
5423	POLB	-0.94	0.379	0.94
5427	POLE2	1.6	0.155	1.6
9921	RNF10	0.17	0.867	0.17
11189	CELF3	-1.57	0.161	1.57
53826	FXYD6	-0.31	0.766	0.31
5828	PEX2	0.5	0.63	0.5
10736	SIX2	-0.18	0.86	0.18
4990	SIX6	2.9	0.023	2.9
63973	NEUROG2	-4.2	0.004	4.2
140628	GATA5	-1.53	0.169	1.53
6928	HNF1B	0.77	0.466	0.77
2538	G6PC	-0.21	0.843	0.21
5881	RAC3	-1.19	0.273	1.19
56655	POLE4	-0.1	0.925	0.1
29959	NRBP1	-0.98	0.362	0.98
2140	EYA3	0.76	0.473	0.76
51804	SIX4	0.88	0.41	0.88
1602	DACH1	1.47	0.184	1.47
93663	ARHGAP18	0.77	0.466	0.77
4809	SNU13	-0.27	0.792	0.27
6514	SLC2A2	-1.62	0.149	1.62
6932	TCF7	2.95	0.022	2.95
147912	SIX5	-0.76	0.474	0.76
85363	TRIM5	1.76	0.123	1.76
53339	BTBD1	1.11	0.305	1.11
90417	KNSTRN	0.48	0.649	0.48
27436	EML4	0.66	0.532	0.66
5192	PEX10	1.77	0.121	1.77
5193	PEX12	-0.75	0.478	0.75
1045	CDX2	-0.72	0.494	0.72
